name,country,position,image,worth,age
Djamel Mesbah,アルジェリア,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/17735-1448965006.jpg?lm=1,600000,29
Carl Medjani,アルジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/8060-1546172376.jpg?lm=1,1750000,28
Mehdi Lacen,アルジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/35539-1447229642.jpg?lm=1,1500000,29
Mehdi Mostefa,アルジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/s_80191_3614_2012_1.jpg?lm=1,1500000,30
Laurent Agouazi,アルジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/s_33950_1162_2012_2.jpg?lm=1,800000,29
Hamza Koudri,アルジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/175004-1493923988.png?lm=1,500000,26
Hocine El Orfi,アルジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,300000,26
Saphir Taïder,アルジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/144779-1583613481.jpg?lm=1,10000000,21
Adlène Guédioura,アルジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/74768-1541149217.JPG?lm=1,2500000,28
Hassan Yebda,アルジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/12351-1475756787.jpg?lm=1,1800000,29
Nabil Bentaleb,アルジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/245537-1531813105.jpg?lm=1,500000,19
Foued Kadir,アルジェリア,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/57403-1447256881.jpg?lm=1,2500000,30
Yacine Brahimi,アルジェリア,フォワード,https://img.a.transfermarkt.technology/portrait/small/60517-1542106587.png?lm=1,4000000,23
Sofiane Feghouli,アルジェリア,フォワード,https://img.a.transfermarkt.technology/portrait/small/57162-1622801567.jpg?lm=1,12000000,24
El Arbi Hillel Soudani,アルジェリア,フォワード,https://img.a.transfermarkt.technology/portrait/small/174842-1541149776.JPG?lm=1,4000000,26
Riyad Mahrez,アルジェリア,フォワード,https://img.a.transfermarkt.technology/portrait/small/171424-1461578220.jpg?lm=1,1250000,22
Abdelmoumene Djabou,アルジェリア,フォワード,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,1100000,26
Zinedine Ferhat,アルジェリア,フォワード,https://img.a.transfermarkt.technology/portrait/small/232895-1669801210.png?lm=1,750000,20
Ishak Belfodil,アルジェリア,フォワード,https://img.a.transfermarkt.technology/portrait/small/111039-1532692921.jpg?lm=1,11000000,21
Nabil Ghilas,アルジェリア,フォワード,https://img.a.transfermarkt.technology/portrait/small/193515-1447315109.jpg?lm=1,3500000,23
Rafik Djebbour,アルジェリア,フォワード,https://img.a.transfermarkt.technology/portrait/small/s_20903_3614_2012_1.jpg?lm=1,2500000,29
Islam Slimani,アルジェリア,フォワード,https://img.a.transfermarkt.technology/portrait/small/174915-1445432455.jpg?lm=1,2000000,25
Mohamed Amine Aoudia,アルジェリア,フォワード,https://img.a.transfermarkt.technology/portrait/small/162436-1406717055.jpg?lm=1,900000,26
Martín Silva,ウルグアイ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/76398-1523614352.jpg?lm=1,1500000,31
Juan Castillo,ウルグアイ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,150000,35
Diego Godín,ウルグアイ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/54928-1547721268.jpg?lm=1,20000000,27
Martín Cáceres,ウルグアイ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/54935-1666428123.jpg?lm=1,9000000,26
Sebastián Coates,ウルグアイ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/102427-1666100911.jpg?lm=1,2500000,23
José María Giménez,ウルグアイ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/250845-1664970029.jpg?lm=1,2000000,19
Diego Lugano,ウルグアイ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/s_13829_1084_2013_06_24_1.jpg?lm=1,1000000,33
Andrés Scotti,ウルグアイ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/s_15876_866_2013_06_10_1.jpg?lm=1,150000,38
Álvaro Pereira,ウルグアイ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/s_54859_46_2013_09_09_1.jpg?lm=1,6500000,28
Maximiliano Pereira,ウルグアイ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/57834-1542105435.png?lm=1,9000000,29
Jorge Fucile,ウルグアイ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/44057-1523614610.jpg?lm=1,1500000,29
Walter Gargano,ウルグアイ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/52266-1581878477.jpg?lm=1,5000000,29
Egidio Arévalo Ríos,ウルグアイ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/s_54818_458_2013_04_04_1.jpg?lm=1,1500000,32
Diego Pérez,ウルグアイ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/s_20378_1025_2013_09_23_1.jpg?lm=1,900000,33
Sebastián Eguren,ウルグアイ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/s_35590_1023_2012_1.jpg?lm=1,500000,33
Álvaro González,ウルグアイ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/55957-1463040928.jpg?lm=1,6000000,29
Cristian Rodríguez,ウルグアイ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/33448-1581878632.jpg?lm=1,5000000,28
Alejandro Silva,ウルグアイ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/138872-1525549224.jpg?lm=1,1100000,24
Gastón Ramírez,ウルグアイ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/123742-1596030737.jpg?lm=1,7500000,23
Nicolás Lodeiro,ウルグアイ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/72653-1647636339.jpg?lm=1,2000000,25
Edinson Cavani,ウルグアイ,フォワード,https://img.a.transfermarkt.technology/portrait/small/48280-1619791055.jpg?lm=1,60000000,26
Luis Suárez,ウルグアイ,フォワード,https://img.a.transfermarkt.technology/portrait/small/44352-1668156555.jpg?lm=1,52000000,26
Abel Hernández,ウルグアイ,フォワード,https://img.a.transfermarkt.technology/portrait/small/76608-1623764106.jpg?lm=1,5000000,23
Cristhian Stuani,ウルグアイ,フォワード,https://img.a.transfermarkt.technology/portrait/small/59323-1471947246.jpg?lm=1,3000000,27
Diego Forlán,ウルグアイ,フォワード,https://img.a.transfermarkt.technology/portrait/small/3408-1456484557.jpg?lm=1,1000000,34
Michel Vorm,オランダ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/26276-1520416447.jpg?lm=1,7000000,30
Maarten Stekelenburg,オランダ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/4311-1666951999.jpg?lm=1,5000000,31
Jeroen Zoet,オランダ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/79045-1602505437.jpg?lm=1,5000000,23
Jasper Cillessen,オランダ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/146227-1660814229.jpg?lm=1,5000000,24
Kenneth Vermeer,オランダ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/30290-1646524856.png?lm=1,4500000,28
Stefan de Vrij,オランダ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/111196-1663572651.jpg?lm=1,6000000,22
Bruno Martins Indi,オランダ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/112052-1629443870.jpg?lm=1,6000000,22
Ron Vlaar,オランダ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/30697-1410950012.jpg?lm=1,5000000,28
Daryl Janmaat,オランダ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/60744-1520606731.jpg?lm=1,5000000,24
Joris Mathijsen,オランダ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/s_4563_234_2012_1.jpg?lm=1,2500000,33
Karim Rekik,オランダ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/182579-1599990525.jpg?lm=1,2500000,19
Terence Kongolo,オランダ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/152651-1514912743.jpg?lm=1,500000,19
Daley Blind,オランダ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/12282-1660761781.jpg?lm=1,6000000,23
Jetro Willems,オランダ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/146258-1657044927.jpg?lm=1,4000000,19
Patrick van Aanholt,オランダ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/52119-1627491031.jpg?lm=1,3500000,23
Gregory van der Wiel,オランダ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/45548-1520787963.jpg?lm=1,7500000,25
Ricardo van Rhijn,オランダ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/124883-1407957037.jpg?lm=1,4500000,22
Joël Veltman,オランダ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/111195-1524562477.jpg?lm=1,3500000,22
Paul Verhaegh,オランダ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/18021-1532334533.jpg?lm=1,2000000,30
Nigel de Jong,オランダ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/4672-1448982742.jpg?lm=1,9000000,29
Leroy Fer,オランダ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/63342-1669740399.png?lm=1,8500000,24
Jordy Clasie,オランダ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/104223-1629444366.jpg?lm=1,7000000,22
Stijn Schaars,オランダ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/s_4698_383_2012_1.jpg?lm=1,5000000,30
Kevin Strootman,オランダ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/68864-1661426336.jpg?lm=1,21000000,23
Marco van Ginkel,オランダ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/147034-1613232156.jpg?lm=1,9000000,21
Jonathan de Guzmán,オランダ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/31067-1502271698.jpg?lm=1,9000000,26
Georginio Wijnaldum,オランダ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/49499-1469085417.jpg?lm=1,7000000,23
Davy Pröpper,オランダ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/79027-1454587397.jpg?lm=1,3500000,22
Wesley Sneijder,オランダ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/4673-1473587409.jpeg?lm=1,17000000,29
Siem de Jong,オランダ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/45509-1629186499.jpg?lm=1,10000000,25
Rafael van der Vaart,オランダ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/4192-1447257367.jpg?lm=1,10000000,31
Jean-Paul Boëtius,オランダ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/182574-1628597027.jpg?lm=1,3500000,19
Davy Klaassen,オランダ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/182932-1666951645.jpg?lm=1,3500000,20
Quincy Promes,オランダ,フォワード,https://img.a.transfermarkt.technology/portrait/small/182381-1632578100.png?lm=1,300000,22
Arjen Robben,オランダ,フォワード,https://img.a.transfermarkt.technology/portrait/small/4360-1540568808.jpg?lm=1,25000000,30
Jeremain Lens,オランダ,フォワード,https://img.a.transfermarkt.technology/portrait/small/38497-1669399774.jpg?lm=1,9000000,26
Luciano Narsingh,オランダ,フォワード,https://img.a.transfermarkt.technology/portrait/small/72462-1668791643.png?lm=1,6000000,23
Dirk Kuyt,オランダ,フォワード,https://img.a.transfermarkt.technology/portrait/small/4010-1401971428.jpg?lm=1,4000000,33
Ruben Schaken,オランダ,フォワード,https://img.a.transfermarkt.technology/portrait/small/s_31453_234_2012_2.jpg?lm=1,2000000,31
Robin van Persie,オランダ,フォワード,https://img.a.transfermarkt.technology/portrait/small/4380-1516382956.jpg?lm=1,40000000,30
Klaas-Jan Huntelaar,オランダ,フォワード,https://img.a.transfermarkt.technology/portrait/small/4357-1471339801.jpg?lm=1,12000000,30
Memphis Depay,オランダ,フォワード,https://img.a.transfermarkt.technology/portrait/small/167850-1668167349.jpg?lm=1,5000000,19
Orestis Karnezis,ギリシャ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/16408-1595851100.jpg?lm=1,1500000,28
Panagiotis Glykos,ギリシャ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,1000000,27
Michalis Sifakis,ギリシャ,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/16444-1487770579.jpg?lm=1,750000,29
Sokratis Papastathopoulos,ギリシャ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/34322-1502448705.jpg?lm=1,15000000,25
Konstantinos Manolas,ギリシャ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/104752-1663850126.jpg?lm=1,6000000,22
Dimitrios Siovas,ギリシャ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/52403-1490621915.jpg?lm=1,3500000,25
Avraam Papadopoulos,ギリシャ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/12979-1411396560.jpg?lm=1,3200000,29
Georgios Tzavellas,ギリシャ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/42942-1567776277.png?lm=1,2000000,26
Sokratis Fytanidis,ギリシャ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,1200000,29
Loukas Vyntra,ギリシャ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/s_16458_3368_2013_10_17_1.jpg?lm=1,1000000,32
Vangelis Moras,ギリシャ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/9850-1449060916.jpg?lm=1,700000,32
Jose Cholevas,ギリシャ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/41112-1418385082.jpg?lm=1,2500000,29
Nikolaos Spyropoulos,ギリシャ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/s_19286_265_2012_1.jpg?lm=1,800000,30
Vasilios Torosidis,ギリシャ,ディフェンダー,https://img.a.transfermarkt.technology/portrait/small/24977-1459341419.jpg?lm=1,5500000,28
Giannis Maniatis,ギリシャ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/s_25721_683_2012_1.jpg?lm=1,4000000,27
Panagiotis Tachtsidis,ギリシャ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/62415-1596024051.jpg?lm=1,3000000,22
Andreas Samaris,ギリシャ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/140032-1603795411.jpg?lm=1,2500000,24
Alexandros Tziolis,ギリシャ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/s_12883_3378_2012_1.jpg?lm=1,1200000,29
Konstantinos Katsouranis,ギリシャ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/s_9852_1091_2014_04_06_1.jpg?lm=1,1500000,34
Panagiotis Kone,ギリシャ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/19636-1418723053.jpg?lm=1,5000000,26
Elini Dimoutsos,ギリシャ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,1500000,25
Georgios Karagounis,ギリシャ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/s_6106_931_2012_1.jpg?lm=1,1000000,36
Sotiris Ninis,ギリシャ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/46062-1483966124.jpg?lm=1,3000000,23
Lazaros Christodoulopoulos,ギリシャ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/34283-1448965371.jpg?lm=1,1600000,27
Konstantinos Fortounis,ギリシャ,ミッドフィールダー,https://img.a.transfermarkt.technology/portrait/small/157539-1656972754.jpg?lm=1,1500000,21
Georgios Samaras,ギリシャ,フォワード,https://img.a.transfermarkt.technology/portrait/small/6855-1408705290.jpg?lm=1,3000000,28
Giannis Fetfatzidis,ギリシャ,フォワード,https://img.a.transfermarkt.technology/portrait/small/128931-1405018641.jpg?lm=1,3800000,23
Dimitrios Salpingidis,ギリシャ,フォワード,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,2500000,32
Konstantinos Mitroglou,ギリシャ,フォワード,https://img.a.transfermarkt.technology/portrait/small/34944-1554904582.jpg?lm=1,12000000,25
Stefanos Athanasiadis,ギリシャ,フォワード,https://img.a.transfermarkt.technology/portrait/small/45970-1494583653.jpg?lm=1,3500000,25
Dimitrios Papadopoulos,ギリシャ,フォワード,https://img.a.transfermarkt.technology/portrait/small/default.jpg?lm=1,1000000,32
Theofanis Gekas,ギリシャ,フォワード,https://img.a.transfermarkt.technology/portrait/small/16402-1442237074.jpg?lm=1,800000,33
Faryd Mondragón,コロンビア,ゴールキーパー,https://img.a.transfermarkt.technology/portrait/small/s_6100_3_2010_2.jpg?lm=1,250000,42
